2023-11-09 03:34:14|INFO|GET|200|http://localhost:8000/video_response|/video_response|127.0.0.1:54039|0.025215|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:15|INFO|GET|200|http://localhost:8000/video_response|/video_response|127.0.0.1:54043|0.029241|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:22|ERROR|GET|307|http://localhost:8000/redirect_response|/redirect_response|127.0.0.1:54046|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:22|INFO|GET|200|http://localhost:8000/html_response?name=Lucas|/html_response|127.0.0.1:54046|0.000513|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:51|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:54058|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:51|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:54058|0.006082|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:55|ERROR|GET|307|http://localhost:8000/redirect_response|/redirect_response|127.0.0.1:54058|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:34:55|INFO|GET|200|http://localhost:8000/html_response?name=Lucas|/html_response|127.0.0.1:54058|0.001824|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:35:12|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:54071|0.001019|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:35:12|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:54071|0.00712|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:35:16|ERROR|GET|307|http://localhost:8000/redirect_response/hello_lucas|/redirect_response/hello_lucas|127.0.0.1:54071|0.000984|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-09 03:35:16|INFO|GET|200|http://localhost:8000/html_response?name=Lucas|/html_response|127.0.0.1:54071|0.000996|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:24:45|INFO|GET|200|http://localhost:8000/docs|/docs|127.0.0.1:17444|0.001018|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:24:45|INFO|GET|200|http://localhost:8000/openapi.json|/openapi.json|127.0.0.1:17444|0.007146|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:24:50|INFO|GET|200|http://localhost:8000/drinks?Alcoholic=false|/drinks|127.0.0.1:17444|0.214909|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:24:55|INFO|GET|200|http://localhost:8000/api/v1/get-test?name=Diego|/api/v1/get-test|127.0.0.1:17444|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:24:59|INFO|GET|200|http://localhost:8000/get-test?name=Diego|/get-test|127.0.0.1:17444|0.0|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:25:07|INFO|GET|200|http://localhost:8000/get/Diego/hello|/get/Diego/hello|127.0.0.1:17445|0.000998|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:25:21|ERROR|GET|401|http://localhost:8000/error_response?name=D|/error_response|127.0.0.1:17446|0.001001|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:26:11|INFO|GET|200|http://localhost:8000/html_response?name=Diego|/html_response|127.0.0.1:17463|0.004457|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:26:22|INFO|GET|200|http://localhost:8000/video_response|/video_response|127.0.0.1:17464|0.086281|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:26:23|INFO|GET|200|http://localhost:8000/video_response|/video_response|127.0.0.1:17480|0.036549|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:26:32|ERROR|GET|307|http://localhost:8000/redirect_response/hello_lucas|/redirect_response/hello_lucas|127.0.0.1:17483|0.001|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
2023-11-11 02:26:32|INFO|GET|200|http://localhost:8000/html_response?name=Lucas|/html_response|127.0.0.1:17483|0.000512|None|None|localhost:8000|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0
